xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,feedbackResp.rt,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
-200,q,200,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.417461872101,None,0,1.0,squarecyan.gif,stop,1.25,0.514943122864,0.000897169113159,0.417461872101,1,q,136.167745113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,z,0,-200,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6507411,stop,diamondgreen.gif,stop,4.0,z,1,0.300889015198,None,0,0.00128507614136,0.512083053589,0.762707948685,180.650892019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,z,0,-200,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.651307106,go,hexagonwhite.gif,go,1.0,z,1,0.651522159576,None,0,0.126726150513,0.515387058258,,183.65400219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,z,0,-200,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.654360056,go,invertedtrianglemagenta.gif,go,4.0,z,1,0.517640829086,None,0,0.000957012176514,0.515934944153,,186.657466173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,m,0,200,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.658093214,stop,diamondgreen.gif,stop,4.0,m,1,0.684545993805,None,0,0.000978231430054,0.515188217163,0.765728235245,189.66082716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,z,0,-200,,,,,,,,,,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.661231041,go,invertedtrianglemagenta.gif,go,4.0,z,1,0.550821065903,None,0,0.00112104415894,0.515826940536,,192.664077044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,m,0,200,,,,,,,,,,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.664455175,go,circleyellow.gif,go,2.0,m,1,0.584452152252,None,0,0.0175158977509,0.515977859497,,195.667729139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,m,0,200,,,,,,,,,,3,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.668169022,go,circleyellow.gif,go,2.0,m,1,0.617587089539,None,0,0.000982046127319,0.515403985977,,198.670805216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,z,0,-200,,,,,,,,,,3,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.671210051,go,invertedtrianglemagenta.gif,go,4.0,z,1,0.601542949677,None,0,0.00101804733276,0.515717029572,,201.674021006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,m,0,200,,,,,,,,,,4,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.674403191,go,trianglegray.gif,go,0.5,m,1,0.867990016937,None,0,0.000982046127319,0.516009092331,,204.677485228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,m,0,200,,,,,,,,,,4,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.678066015,go,circleyellow.gif,go,2.0,m,1,0.651170015335,None,0,0.00101709365845,0.515676021576,,207.68101716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,60.5225379467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.8249771595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.534265995026,None,0,2.0,crossorange.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.19,0.515185117722,0.0112390518188,0.534265995026,1,q,279.212112188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.433953046799,None,0,1.0,squarecyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.51398396492,0.000914812088013,0.433953046799,1,w,282.215001106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.350927829742,None,0,2.0,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.16,0.514339923859,0.000962018966675,0.350927829742,1,a,285.218069077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.383917093277,None,0,4.0,invertedtrianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.92,0.514706134796,0.000907182693481,0.383917093277,1,s,288.22163105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.417652130127,None,0,0.5,lineblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.51441693306,0.000904083251953,0.417652130127,1,q,291.225455999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.350223064423,None,0,4.0,invertedtrianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.91,0.51437997818,0.00137591362,0.350223064423,1,s,294.228907108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.417762994766,None,0,4.0,invertedtrianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.513611078262,0.000925064086914,0.417762994766,1,w,297.231666088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,1,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.501075983047,None,0,4.0,invertedtrianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.96,0.514437913895,0.000886917114258,0.501075983047,1,q,300.235239029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.384315013885,None,0,4.0,invertedtrianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,4.21,0.514074087143,0.000906944274902,0.384315013885,1,s,303.239019156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,2,1,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.417553901672,None,0,0.5,trianglegray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.513761043549,0.000921010971069,0.417553901672,1,a,306.241697073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,2,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.367557048798,None,0,4.0,invertedtrianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.94,0.514393091202,0.00088906288147,0.367557048798,1,s,309.245252132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,2,3,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.38377904892,None,0,2.0,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.14,0.514471054077,0.000910043716431,0.38377904892,1,w,312.249013186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,3,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.417137861252,None,0,2.0,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.51380109787,0.000930070877075,0.317255973816,0,s,315.25178504,0,0.515910148621,0.000991106033325,0.417137861252,1,w,318.255595207,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,3,1,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.467790126801,None,0,0.5,trianglegray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.514122009277,0.000921010971069,0.467790126801,1,a,321.258517027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,3,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.400529146194,None,0,4.0,invertedtrianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.515048027039,0.000923871994019,0.400529146194,1,w,324.26227212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,3,3,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.533923864365,None,0,1.0,hexagonwhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.514295101166,0.000945091247559,0.533923864365,1,s,327.265082121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,4,0,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.417851924896,None,0,1.0,squarecyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.514480113983,0.00103211402893,0.417851924896,1,a,330.268592119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,4,1,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.451102018356,None,0,4.0,diamondgreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514209985733,0.000962972640991,0.451102018356,1,q,333.272014141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,4,2,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.400688886642,None,0,0.5,lineblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.514261007309,0.00093412399292,0.400688886642,1,w,336.275387049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,4,3,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.401762008667,None,0,0.5,trianglegray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.514107942581,0.000895977020264,0.401762008667,1,q,339.278836012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,5,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.450466871262,None,0,4.0,diamondgreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.12,0.514512062073,0.00097393989563,0.450466871262,1,w,342.282209158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,5,1,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.367453098297,None,0,2.0,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.81,0.513993024826,0.000929117202759,0.367453098297,1,w,345.285150051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,5,2,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.434237003326,None,0,2.0,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.514468193054,0.000922203063965,0.434237003326,1,q,348.288787127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,5,3,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.383975982666,None,0,0.5,lineblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514348983765,0.000970125198364,0.383975982666,1,w,351.29263711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,6,0,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.46807217598,None,0,1.0,squarecyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.513630867004,0.00088906288147,0.46807217598,1,a,354.295451164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,6,1,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.400950908661,None,0,2.0,crossorange.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.51375412941,0.00103402137756,0.400950908661,1,s,357.298991203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,6,2,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.383898973465,None,0,2.0,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.12,0.514039039612,0.000923871994019,0.383898973465,1,w,360.302324057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,6,3,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.434175014496,None,0,4.0,diamondgreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.15,0.514180183411,0.00103712081909,0.434175014496,1,q,363.305397034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,7,0,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.417497873306,None,0,1.0,hexagonwhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.514671802521,0.000995874404907,0.417497873306,1,a,366.309394121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
